2003 09 10   &  52892.40   &    1.2  &   CTIO 0.9~m  &    11.940(0.152) &   12.452(0.019) &	 12.483(0.015) &    12.459(0.015) &    12.759(0.015)	 \\
2003 10 09   &  52921.40   &   30.2  &   KAIT	      &       \nodata	  &   15.448(0.015) &	 14.480(0.015) &    14.189(0.015) &    13.913(0.025)	 \\
2003 10 13   &  52925.43   &   34.2  &   KAIT	      &       \nodata	  &   15.640(0.021) &	 14.658(0.022) &    14.392(0.020) &    14.143(0.030)	 \\
2003 10 16   &  52928.42   &   37.2  &   KAIT	      &       \nodata	  &   15.646(0.015) &	 14.746(0.015) &    14.518(0.015) &    14.315(0.032)	 \\
2003 10 17   &  52929.40   &   38.2  &   LCO  Swope  &    15.511(0.045)  &   15.624(0.015) &	 14.781(0.015) &    14.523(0.015) &    14.325(0.015)	 \\
2003 10 18   &  52930.42   &   39.2  &   KAIT	      &       \nodata	  &   15.716(0.015) &	 14.806(0.015) &    14.593(0.015) &    14.428(0.025)	 \\
2003 10 20   &  52932.37   &   41.2  &   KAIT	      &       \nodata	  &   15.735(0.015) &	 14.871(0.015) &    14.671(0.015) &    14.566(0.022)	 \\
2003 10 22   &  52934.41   &   43.2  &   KAIT	      &       \nodata	  &   15.806(0.015) &	 14.916(0.015) &    14.752(0.015) &    14.629(0.018)	 \\
2003 10 24   &  52936.40   &   45.2  &   KAIT	      &       \nodata	  &   15.843(0.015) &	 15.018(0.015) &    14.840(0.015) &    14.735(0.025)	 \\
2003 10 27   &  52939.36   &   48.2  &   KAIT	      &       \nodata	  &   15.929(0.015) &	 15.094(0.015) &    14.926(0.015) &    14.879(0.025)	 \\
2003 10 30   &  52942.36   &   51.2  &   KAIT	      &       \nodata	  &   15.965(0.015) &	 15.199(0.015) &    15.049(0.015) &    15.043(0.031)	 \\
2003 10 30   &  52942.66   &   51.5  &   SSO 2.3~m   &    15.792(0.039)  &   15.952(0.016) &	 15.234(0.015) &    15.099(0.015) &    14.877(0.017)	 \\
2003 11 02   &  52945.38   &   54.2  &   KAIT	      &       \nodata	  &   16.053(0.015) &	 15.269(0.015) &    15.144(0.015) &    15.204(0.024)	 \\
2003 11 05   &  52948.32   &   57.1  &   KAIT	      &       \nodata	  &   16.142(0.059) &	 15.385(0.015) &    15.241(0.015) &    15.323(0.035)	 \\
2003 11 08   &  52951.30   &   60.1  &   LCO Swope  &    16.110(0.035)  &   16.086(0.015) &	 15.408(0.015) &    15.310(0.015) &    15.379(0.015)	 \\
2003 11 11   &  52954.36   &   63.2  &   KAIT	      &       \nodata	  &   16.168(0.026) &	 15.552(0.017) &    15.593(0.026) &       \nodata	 \\
2003 11 16   &  52959.33   &   68.1  &   KAIT	      &       \nodata	  &   16.246(0.017) &	 15.665(0.015) &    15.651(0.015) &    15.864(0.035)	 \\
2003 11 18   &  52961.28   &   70.1  &   CTIO 0.9~m  &       \nodata	  &   16.260(0.015) &	 15.667(0.015) &    15.644(0.015) &    15.855(0.015)	 \\
2003 11 19   &  52962.34   &   71.1  &   KAIT	      &       \nodata	  &   16.323(0.015) &	 15.776(0.015) &    15.744(0.015) &    15.928(0.032)	 \\
2003 11 20   &  52964.24   &   73.0  &   VLT Antu   &       \nodata	  &   16.277(0.042) &	 15.793(0.015) &    15.582(0.024) &    16.015(0.015)	 \\
2003 11 21   &  52964.32   &   73.1  &   CTIO 0.9~m  &       \nodata	  &   16.298(0.015) &	 15.815(0.015) &    15.764(0.015) &    15.991(0.015)	 \\
2003 11 22   &  52965.29   &   74.1  &   CTIO 0.9~m  &       \nodata	  &   16.347(0.015) &	 15.819(0.015) &    15.797(0.015) &    16.036(0.015)	 \\
2003 11 22   &  52965.31   &   74.1  &   KAIT	      &       \nodata	  &   16.338(0.015) &	 15.855(0.018) &    15.846(0.015) &	  \nodata	 \\
2003 11 27   &  52970.30   &   79.1  &   KAIT	      &       \nodata	  &   16.465(0.015) &	 15.982(0.016) &    16.047(0.015) &    16.285(0.047)	 \\
2003 11 28   &  52971.67   &   80.5  &   SSO 2.3~m   &    16.812(0.029)  &   16.372(0.015) &    15.935(0.015) &    15.921(0.017) &    15.981(0.024)     \\
2003 12 03   &  52976.28   &   85.1  &   KAIT	      &       \nodata	  &   16.576(0.033) &	 16.186(0.039) &    16.244(0.030) &    16.519(0.065)	 \\
2003 12 15   &  52988.30   &   97.1  &   LCO Swope  &    17.116(0.041)  &   16.694(0.015) &	 16.424(0.015) &    16.512(0.015) &    16.654(0.015)	 \\
2003 12 17   &  52990.26   &   99.1  &   KAIT	      &       \nodata	  &   16.836(0.024) &	 16.615(0.035) &    16.706(0.048) &    16.854(0.087)	 \\
2003 12 22   &  52995.10   &  103.9  &   LCO Swope  &    17.349(0.036)  &	 \nodata    &	 16.569(0.015) &    16.736(0.015) &    16.840(0.016)	 \\
2003 12 22   &  52995.24   &  104.0  &   KAIT	      &       \nodata	  &   16.869(0.019) &	 16.686(0.040) &    16.771(0.054) &    17.052(0.091)	 \\
2003 12 23   &  52996.10   &  104.9  &   LCO Swope  &       \nodata	  &   16.890(0.015) &	    \nodata    &       \nodata    &	  \nodata	 \\
2003 12 27   &  53000.10   &  108.9  &   LCO Swope  &    17.549(0.032)  &   16.918(0.015) &	 16.718(0.015) &    16.889(0.021) &    17.012(0.017)	 \\
2003 12 28   &  53001.21   &  110.0  &   KAIT	      &       \nodata	  &   17.010(0.023) &	 16.817(0.033) &    17.085(0.027) &    17.414(0.085)	 \\
2003 12 28   &  53001.57   &  110.4  &   SSO 2.3~m   &    17.588(0.015)  &   16.859(0.018) &    16.786(0.015) &    16.936(0.015) &    17.119(0.016)     \\
2004 01 06   &  53010.20   &  119.0  &   KAIT	      &       \nodata	  &   17.120(0.052) &	 17.107(0.047) &    17.336(0.048) &    17.316(0.100)	 \\
2004 01 09   &  53013.19   &  122.0  &   KAIT	      &       \nodata	  &   17.254(0.128) &	 17.208(0.090) &    17.329(0.108) &	  \nodata	 \\
2004 01 13   &  53017.18   &  126.0  &   KAIT	      &       \nodata	  &   17.241(0.019) &	 17.233(0.024) &    17.476(0.037) &    17.576(0.081)	 \\
2004 01 16   &  53020.16   &  129.0  &   KAIT	      &       \nodata	  &   17.299(0.026) &	 17.242(0.026) &    17.567(0.020) &    17.694(0.111)	 \\
2004 01 19   &  53023.13   &  131.9  &   KAIT	      &       \nodata	  &   17.349(0.028) &	 17.347(0.026) &    17.625(0.041) &    17.706(0.072)	 \\
2004 01 22   &  53026.15   &  135.0  &   KAIT	      &       \nodata	  &   17.456(0.025) &	 17.379(0.033) &    17.638(0.037) &    17.769(0.092)	 \\
2004 01 29   &  53033.49   &  142.3  &   SSO 2.3~m   &    18.440(0.057)  &   17.518(0.043) &	 17.373(0.024) &    17.581(0.032) &    17.686(0.101)	 \\
2004 03 29   &  53093.38   &  202.2  &   SSO 2.3~m   &    19.843(0.330)  &   18.634(0.055) &	 18.383(0.050) &    18.691(0.100) &    18.276(0.147)	 \\
2004 07 10   & 53196.55    &  305.4   &  {\it HST} ACS$^b$    &       \nodata	  &   \nodata   		&	 19.896(0.021) 	&       \nodata     	&    20.052(0.017) \\
2004 07 12  & 53198.82    &  307.6    &  {\it HST} ACS    &       \nodata	  &    20.058(0.017)  	&	  \nodata           	&    21.210(0.029)    	&     \nodata	    \\
2004 07 16  & 53202.75    &  311.6    &  {\it HST} ACS    &       \nodata	  &    20.079(0.016)	&	  \nodata            &    21.219(0.024)	&     \nodata	 \\
2004 08 12   & 53229.30    &  338.1  &   VLT Kueyen  &    21.648(0.039)  &   20.508(0.028) &	 20.543(0.033) &    21.224(0.042) &    20.587(0.032)	 \\
2004 08 13   & 53230.39    &  339.2  &   VLT Kueyen  &       \nodata	  &	 \nodata    &	    \nodata    &    21.263(0.034) &    20.592(0.032)	 \\
2004 11 15  & 53324.71    &  433.5    &  {\it HST} ACS    &       \nodata	  &   \nodata   		&	 21.712(0.029) 	&       \nodata     	&    21.417(0.031) \\
2005 02 07   & 53408.10    &  516.9  &   VLT Antu    &       \nodata	  &	 \nodata    &	 23.326(0.100) &    23.111(0.102) &    22.554(0.122)	 \\ 
2005 03 04   & 53433.02    &  541.8  &   VLT Antu    &    $>$22.95       &	 \nodata    &	    \nodata    &       \nodata    &	  \nodata	 \\ 
2005 08 08   & 53590.34    &  699.1  &   VLT Kueyen  &       \nodata	  &   25.198(0.137) &	    \nodata    &       \nodata    &    24.366(0.287)$^c$	 \\
2005 08 09   & 53591.36    &  700.2  &   VLT Kueyen  &       \nodata	  &	 \nodata    &	    \nodata    &    25.192(0.388) &	  \nodata	 \\
2005 08 10   & 53592.39    &  701.2  &   VLT Kueyen  &       \nodata	  &	 \nodata    &	 24.423(0.138) &       \nodata    &	  \nodata	 \\
